       mindate     maxdate                                                                                                     name  datacoverage    id
108  2011-03-08  2023-05-26                                                 Differential Reflectivity (approx. elev. angle: 0.5 deg)        0.9500   N0X
109  1994-05-20  2023-05-26                                                                    Long Range Base Reflectivity (460 km.        0.9500   N0Z
110  2011-03-08  2023-05-26                                                   Correlation Coefficient (approx. elev. angle: 1.5 deg)        0.9500   N1C
111  2011-03-08  2023-05-26                                                                               Power Removed Control (1.3        0.9500   N1F
112  2011-03-08  2023-05-26                                                      Hydrometeor Classification (approx. elev.: 1.5 deg)        0.9500   N1H
113  2011-03-08  2023-05-26                                                     Specific Differential Phase (approx. elev.: 1.5 deg)        0.9500   N1K
114  1994-06-17  2023-05-26                                                                             One Hour Precipitation Total        0.9500   N1P
115  1994-05-20  2023-05-26                                                 Digital Base Reflectivity (approx. elev. angle: 1.5 deg)        0.9500   N1Q
116  1994-05-20  2023-05-26                                                         Base Reflectivity (approx. elev. angle: 1.5 deg)        0.9500   N1R
117  1994-05-20  2023-05-26                                                   Storm Relative Velocity (approx. elev. angle: 1.5 deg)        0.9500   N1S
118  1994-05-20  2023-05-26                                                             Base Velocity (approx. elev. angle: 1.5 deg)        0.9500   N1V
119  2011-03-08  2023-05-26                                                 Differential Reflectivity (approx. elev. angle: 1.5 deg)        0.9500   N1X
120  2011-03-08  2023-05-26                                                   Correlation Coefficient (approx. elev. angle: 2.4 deg)        0.9500   N2C
121  2011-03-08  2023-05-26                                                      Hydrometeor Classification (approx. elev.: 2.4 deg)        0.9500   N2H
122  2011-03-08  2023-05-26                                                     Specific Differential Phase (approx. elev.: 2.4 deg)        0.9500   N2K
123  1994-05-20  2023-05-26                                                 Digital Base Reflectivity (approx. elev. angle: 2.4 deg)        0.9500   N2Q
124  1994-05-20  2023-05-26                                                         Base Reflectivity (approx. elev. angle: 2.4 deg)        0.9500   N2R
125  1994-05-20  2023-05-26                                                   Storm Relative Velocity (approx. elev. angle: 2.4 deg)        0.9500   N2S
126  1994-05-20  2023-05-26                                                             Base Velocity (approx. elev. angle: 2.4 deg)        0.9500   N2V
127  2011-03-08  2023-05-26                                                 Differential Reflectivity (approx. elev. angle: 2.4 deg)        0.9500   N2X
128  2011-03-08  2023-05-26                                                   Correlation Coefficient (approx. elev. angle: 3.4 deg)        0.9500   N3C
129  2011-03-08  2023-05-26                                                                               Power Removed Control (2.4        0.9500   N3F
130  2011-03-08  2023-05-26                                                      Hydrometeor Classification (approx. elev.: 3.4 deg)        0.9500   N3H
131  2011-03-08  2023-05-26                                                     Specific Differential Phase (approx. elev.: 3.4 deg)        0.9500   N3K
132  1994-06-17  2023-05-26                                                                           Three Hour Precipitation Total        0.9500   N3P
133  1994-05-20  2023-05-26                                                 Digital Base Reflectivity (approx. elev. angle: 3.4 deg)        0.9500   N3Q
134  1994-05-20  2023-05-26                                                         Base Reflectivity (approx. elev. angle: 3.4 deg)        0.9500   N3R
135  1994-05-20  2023-05-26                                                   Storm Relative Velocity (approx. elev. angle: 3.4 deg)        0.9500   N3S
136  1994-05-20  2023-05-26                                                             Base Velocity (approx. elev. angle: 3.4 deg)        0.9500   N3V
137  2011-03-08  2023-05-26                                                 Differential Reflectivity (approx. elev. angle: 3.4 deg)        0.9500   N3X
138  2011-03-08  2023-05-26                                                                               Power Removed Control (3.1        0.9500   N4F
139  2011-03-08  2023-05-26                                                   Correlation Coefficient (approx. elev. angle: 0.8 deg)        0.9500   NAC
140  2011-03-08  2023-05-26                                                                          Power Removed Control (0.9 Deg)        0.9500   NAF
141  2011-03-08  2023-05-26                                                      Hydrometeor Classification (approx. elev.: 0.8 deg)        0.9500   NAH
142  2011-03-08  2023-05-26                                                     Specific Differential Phase (approx. elev.: 0.8 deg)        0.9500   NAK
143  1994-05-20  2023-05-26                                                 Digital Base Reflectivity (approx. elev. angle: 0.8 deg)        0.9500   NAQ
144  2011-03-08  2023-05-26                                                 Differential Reflectivity (approx. elev. angle: 0.9 deg)        0.9500   NAX
